,KILLA,PARENT_OP,PARENT_CL,KEY_OP,RETURN,ENDLINE,KEY_CL,OPER_ADD,OPER_SUB,OPER_MUL,OPER_DIV,OPER_MOD,OPER_MYQ,OPER_MNQ,OPER_MYI,OPER_MNI,OPER_IQL,OPER_DIF,OPER_ASI,NUM,DECM,CHAR,BOOL,ID,TYPE_INT,TYPE_FLOAT,TYPE_BOOL,TYPE_CHAR,TYPE_VOID,OPER_OR,OPER_AND,ELSE,COMMENT_SIM,COMMENT_COM,COMMA,READ,PRINT,LITERAL,WHILE,IF,$
START_KILLA,KILLA PARENT_OP PARENT_CL KEY_OP START RETURN LINE ENDLINE KEY_CL START,START,,,START,,START,,START,,,,,,,,,,,START,START,START,START,START,START,START,START,START,START,,,,START,START,,START,START,,START,START,START
START,,LINE_CODE,,,LINE_CODE,,LINE_CODE,,LINE_CODE,,,,,,,,,,,LINE_CODE,LINE_CODE,LINE_CODE,LINE_CODE,LINE_CODE,INSTANCE,INSTANCE,INSTANCE,INSTANCE,INSTANCE,,,,COMMENT,COMMENT,,OPER_ESPE,OPER_ESPE,,INSTANCE,INSTANCE,LINE_CODE
LINE_CODE,,LINE ENDLINE LINE_CODE,,,e,,e,,LINE ENDLINE LINE_CODE,,,,,,,,,,,LINE ENDLINE LINE_CODE,LINE ENDLINE LINE_CODE,LINE ENDLINE LINE_CODE,LINE ENDLINE LINE_CODE,LINE ENDLINE LINE_CODE,,,,,,,,,,,,,,,,,e
LINE,,VALUE_INIT OPER_GENERAL,,,,,,,VALUE_INIT OPER_GENERAL,,,,,,,,,,,VALUE_INIT OPER_GENERAL,VALUE_INIT OPER_GENERAL,VALUE_INIT OPER_GENERAL,VALUE_INIT OPER_GENERAL,VALUE_INIT OPER_GENERAL,,,,,,,,,,,,,,,,,
OPER_GENERAL,,,,,,e,,OPER_MATH LINE,OPER_MATH LINE,OPER_MATH LINE,OPER_MATH LINE,OPER_MATH LINE,OPER_COMPA LINE,OPER_COMPA LINE,OPER_COMPA LINE,OPER_COMPA LINE,OPER_COMPA LINE,OPER_COMPA LINE,,,,,,,,,,,,,,,,,,,,,,,
OPER_MATH,,,,,,,,OPER_ADD,OPER_SUB,OPER_MUL,OPER_DIV,OPER_MOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPER_COMPA,,,,,,,,,,,,,OPER_MYQ,OPER_MNQ,OPER_MYI,OPER_MNI,OPER_IQL,OPER_DIF,,,,,,,,,,,,,,,,,,,,,,,
ID_OPER,,,e,,,e,,e,e,e,e,e,e,e,e,e,e,e,OPER_ASI VALUE_INIT,,,,,,,,,,,e,e,,,,,,,,,,
VALUE_INIT,,VALUE_PARENT,,,,,,,OPER_SUB VALUE_PARENT,,,,,,,,,,,VALUE_PARENT,VALUE_PARENT,VALUE_PARENT,VALUE_PARENT,VALUE_PARENT,,,,,,,,,,,,,,,,,
VALUE_PARENT,,PARENT_OP VALUE_INIT PARENT_CL,,,,,,,,,,,,,,,,,,VALUE,VALUE,VALUE,VALUE,VALUE,,,,,,,,,,,,,,,,,
VALUE,,,,,,,,,,,,,,,,,,,,NUM,DECM,CHAR,BOOL,ID ID_OPER,,,,,,,,,,,,,,,,,
TYPE,,,,,,,,,,,,,,,,,,,,,,,,,TYPE_INT,TYPE_FLOAT,TYPE_BOOL,TYPE_CHAR,,,,,,,,,,,,,
TYPE_FUNCTION,,,,,,,,,,,,,,,,,,,,,,,,,TYPE,TYPE,TYPE,TYPE,TYPE_VOID,,,,,,,,,,,,
PARAMETER,,,,,,,,,,,,,,,,,,,,VALUE OPER_COMPA VALUE OPER_PARAMETER,VALUE OPER_COMPA VALUE OPER_PARAMETER,VALUE OPER_COMPA VALUE OPER_PARAMETER,VALUE OPER_COMPA VALUE OPER_PARAMETER,VALUE OPER_COMPA VALUE OPER_PARAMETER,,,,,,,,,,,,,,,,,
OPER_PARAMETER,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,OPER_OPER_OR PARAMETER,OPER_OPER_AND PARAMETER,,,,,,,,,,
IF_ELSE,START_KILLA,START_KILLA,,,START_KILLA,,START_KILLA,,START_KILLA,,,,,,,,,,,START_KILLA,START_KILLA,START_KILLA,START_KILLA,START_KILLA,START_KILLA,START_KILLA,START_KILLA,START_KILLA,START_KILLA,,,ELSE KEY_OP START KEY_CL START,START_KILLA,START_KILLA,,START_KILLA,START_KILLA,,START_KILLA,START_KILLA,START_KILLA
COMMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMMENT_SIM START,COMMENT_COM START,,,,,,,
TYPE_INSTANCE,,PARENT_OP TYPE ID PARAMETER_INSTANCE PARENT_CL KEY_OP START RETURN LINE ENDLINE KEY_CL START_KILLA,,,ID_OPER ENDLINE START_KILLA,ID_OPER ENDLINE START_KILLA,ID_OPER ENDLINE START_KILLA,,,,,,,,,,,,ID_OPER ENDLINE START_KILLA,,,,,,,,,,,,,,,,,,,,,,ID_OPER ENDLINE START_KILLA
PARAMETER_INSTANCE,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMMA TYPE ID PARAMETER_INSTANCE,,,,,,
OPER_ESPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPER_READ,OPER_PRINT,,,,
OPER_READ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READ PARENT_OP ID PARENT_CL ENDLINE START,,,,,
OPER_PRINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRINT PARENT_OP VALUE_PRINT PARENT_CL ENDLINE START,,,,
VALUE_PRINT,,,,,,,,,,,,,,,,,,,,VALUE MORE_PRINT,VALUE MORE_PRINT,VALUE MORE_PRINT,VALUE MORE_PRINT,VALUE MORE_PRINT,,,,,,,,,,,,,,LITERAL MORE_PRINT,,,
MORE_PRINT,,,e,,,,,OPER_ADD VALUE_PRINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTANCE,,,,,,,,,,,,,,,,,,,,,,,,,TYPE_FUNCTION ID TYPE_INSTANCE,TYPE_FUNCTION ID TYPE_INSTANCE,TYPE_FUNCTION ID TYPE_INSTANCE,TYPE_FUNCTION ID TYPE_INSTANCE,TYPE_FUNCTION ID TYPE_INSTANCE,,,,,,,,,,WHILE PARENT_OP PARAMETER PARENT_CL KEY_OP START KEY_CL START_KILLA,IF PARENT_OP PARAMETER PARENT_CL KEY_OP START KEY_CL IF_ELSE,
