,KILLA,PARENT_OP,PARENT_CL,KEY_OP,RETURN,NUM,ENDLINE,KEY_CL,ID,OPER_ADD,OPER_SUB,OPER_MUL,OPER_DIV,OPER_MOD,OPER_ASI,OPER_MYQ,OPER_MNQ,OPER_MYI,OPER_MNI,OPER_IQL,OPER_DIF,READ,PRINT,LITERAL,DECM,CHAR,BOOL,TYPE_VOID,TYPE_INT,TYPE_FLOAT,TYPE_BOOL,TYPE_CHAR,FUNCTION,COMMENT_SIM,COMMENT_COM,ELSE,OPER_OR,OPER_AND,COMMA,WHILE,IF,$
GLOBAL,START_KILLA,START,,,,START,,,START,,START,,,,,,,,,,,,,,START,START,START,,START,START,START,START,INSTANCE_FUNCTION,START,START,,,,,,,START
START_KILLA,KILLA PARENT_OP PARENT_CL KEY_OP START_AMBIT RETURN NUM ENDLINE KEY_CL GLOBAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
START_AMBIT,,LINECODE_AMBIT,,,LINECODE_AMBIT,LINECODE_AMBIT,,LINECODE_AMBIT,LINECODE_AMBIT,,LINECODE_AMBIT,,,,,,,,,,,OPER_ESPE,OPER_ESPE,,LINECODE_AMBIT,LINECODE_AMBIT,LINECODE_AMBIT,,VARIABLE_AMBIT,VARIABLE_AMBIT,VARIABLE_AMBIT,VARIABLE_AMBIT,,COMMENT START_AMBIT,COMMENT START_AMBIT,,,,,INSTANCE,INSTANCE,
START,,LINECODE,,,,LINECODE,,,LINECODE,,LINECODE,,,,,,,,,,,,,,LINECODE,LINECODE,LINECODE,,VARIABLE,VARIABLE,VARIABLE,VARIABLE,,COMMENT GLOBAL,COMMENT GLOBAL,,,,,,,LINECODE
VARIABLE_AMBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE ID OPER_ID,TYPE ID OPER_ID,TYPE ID OPER_ID,TYPE ID OPER_ID,,,,,,,,,,
VARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE ID OPER_ID_GLOBAL,TYPE ID OPER_ID_GLOBAL,TYPE ID OPER_ID_GLOBAL,TYPE ID OPER_ID_GLOBAL,,,,,,,,,,
LINECODE,,LINE ENDLINE GLOBAL,,,,LINE ENDLINE GLOBAL,,,LINE ENDLINE GLOBAL,,LINE ENDLINE GLOBAL,,,,,,,,,,,,,,LINE ENDLINE GLOBAL,LINE ENDLINE GLOBAL,LINE ENDLINE GLOBAL,,,,,,,,,,,,,,,e
LINECODE_AMBIT,,LINE ENDLINE START_AMBIT,,,e,LINE ENDLINE START_AMBIT,,e,LINE ENDLINE START_AMBIT,,LINE ENDLINE START_AMBIT,,,,,,,,,,,,,,LINE ENDLINE START_AMBIT,LINE ENDLINE START_AMBIT,LINE ENDLINE START_AMBIT,,,,,,,,,,,,,,,
LINE,,VALUE_INIT OPER_GENERAL,,,,VALUE_INIT OPER_GENERAL,,,VALUE_INIT OPER_GENERAL,,VALUE_INIT OPER_GENERAL,,,,,,,,,,,,,,VALUE_INIT OPER_GENERAL,VALUE_INIT OPER_GENERAL,VALUE_INIT OPER_GENERAL,,,,,,,,,,,,,,,
OPER_GENERAL,,,,,,,e,,,OPER_MATH LINE,OPER_MATH LINE,OPER_MATH LINE,OPER_MATH LINE,OPER_MATH LINE,OPER_MATH LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPER_MATH,,,,,,,,,,OPER_ADD,OPER_SUB,OPER_MUL,OPER_DIV,OPER_MOD,OPER_ASI,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPER_ID_GLOBAL,,,,,,,ENDLINE GLOBAL,,,,,,,,OPER_ASI LINECODE,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPER_ID,,,,,,,ENDLINE START_AMBIT,,,,,,,,OPER_ASI LINECODE_AMBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPER_COMPA,,,,,,,,,,,,,,,,OPER_MYQ,OPER_MNQ,OPER_MYI,OPER_MNI,OPER_IQL,OPER_DIF,,,,,,,,,,,,,,,,,,,,,
OPER_ESPE,,,,,,,,,,,,,,,,,,,,,,OPER_READ,OPER_PRINT,,,,,,,,,,,,,,,,,,,
OPER_READ,,,,,,,,,,,,,,,,,,,,,,READ PARENT_OP ID PARENT_CL ENDLINE START_AMBIT,,,,,,,,,,,,,,,,,,,,
OPER_PRINT,,,,,,,,,,,,,,,,,,,,,,,PRINT PARENT_OP VALUE_PRINT PARENT_CL ENDLINE START_AMBIT,,,,,,,,,,,,,,,,,,,
VALUE_PRINT,,,,,,VALUE MORE_PRINT,,,VALUE MORE_PRINT,,,,,,,,,,,,,,,LITERAL MORE_PRINT,VALUE MORE_PRINT,VALUE MORE_PRINT,VALUE MORE_PRINT,,,,,,,,,,,,,,,
MORE_PRINT,,,e,,,,,,,OPER_ADD VALUE_PRINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALUE_INIT,,VALUE_PARENT,,,,VALUE_PARENT,,,VALUE_PARENT,,OPER_SUB VALUE_PARENT,,,,,,,,,,,,,,VALUE_PARENT,VALUE_PARENT,VALUE_PARENT,,,,,,,,,,,,,,,
VALUE_PARENT,,PARENT_OP VALUE_INIT PARENT_CL,,,,VALUE,,,VALUE,,,,,,,,,,,,,,,,VALUE,VALUE,VALUE,,,,,,,,,,,,,,,
VALUE,,,,,,NUM,,,ID ESPECIAL_ID,,,,,,,,,,,,,,,,DECM,CHAR,BOOL,,,,,,,,,,,,,,,
ESPECIAL_ID,,CALL_FUNCTION,e,,,,e,,,e,e,e,e,e,e,e,e,e,e,e,e,,,,,,,,,,,,,,,,e,e,e,,,
CALL_FUNCTION,,PARENT_OP CALL_FUNCTION_PARAMETER PARENT_CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYPE_FUNCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE_VOID ID PARENT_OP FUNCTION_PARAMETER PARENT_CL KEY_OP START_AMBIT KEY_CL GLOBAL,TYPE ID PARENT_OP FUNCTION_PARAMETER PARENT_CL KEY_OP START_AMBIT RETURN LINECODE_AMBIT KEY_CL GLOBAL,TYPE ID PARENT_OP FUNCTION_PARAMETER PARENT_CL KEY_OP START_AMBIT RETURN LINECODE_AMBIT KEY_CL GLOBAL,TYPE ID PARENT_OP FUNCTION_PARAMETER PARENT_CL KEY_OP START_AMBIT RETURN LINECODE_AMBIT KEY_CL GLOBAL,TYPE ID PARENT_OP FUNCTION_PARAMETER PARENT_CL KEY_OP START_AMBIT RETURN LINECODE_AMBIT KEY_CL GLOBAL,,,,,,,,,,
TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE_INT,TYPE_FLOAT,TYPE_BOOL,TYPE_CHAR,,,,,,,,,,
INSTANCE_FUNCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCTION TYPE_FUNCTION,,,,,,,,,
COMMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMMENT_SIM,COMMENT_COM,,,,,,,
IF_ELSE,,e,,,e,e,,e,e,,e,,,,,,,,,,,e,e,,e,e,e,,e,e,e,e,,e,e,ELSE KEY_OP START_AMBIT KEY_CL,,,,e,e,
PARAMETER,,,,,,VALUE OPER_COMPA VALUE OPER_PARAMETER,,,VALUE OPER_COMPA VALUE OPER_PARAMETER,,,,,,,,,,,,,,,,VALUE OPER_COMPA VALUE OPER_PARAMETER,VALUE OPER_COMPA VALUE OPER_PARAMETER,VALUE OPER_COMPA VALUE OPER_PARAMETER,,,,,,,,,,,,,,,
OPER_PARAMETER,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPER_OR PARAMETER,OPER_AND PARAMETER,,,,
FUNCTION_PARAMETER,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE ID CONTINUE_PARAMETER,TYPE ID CONTINUE_PARAMETER,TYPE ID CONTINUE_PARAMETER,TYPE ID CONTINUE_PARAMETER,,,,,,,,,,
CONTINUE_PARAMETER,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMMA TYPE ID CONTINUE_PARAMETER,,,
CALL_FUNCTION_PARAMETER,,,e,,,VALUE CONTINUE_CALL_PARAMETER,,,VALUE CONTINUE_CALL_PARAMETER,,,,,,,,,,,,,,,,VALUE CONTINUE_CALL_PARAMETER,VALUE CONTINUE_CALL_PARAMETER,VALUE CONTINUE_CALL_PARAMETER,,,,,,,,,,,,,,,
CONTINUE_CALL_PARAMETER,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMMA VALUE CONTINUE_CALL_PARAMETER,,,
